"$epsilon_r []","Freq [GHz]","dB(S(1,1)) []"
4.3032,3.6855,-1.39261304169373
4.3032,3.686,-1.39584722924752
4.3032,3.6865,-1.39909634717589
4.3032,3.687,-1.40236048222563
4.3032,3.6875,-1.40563972174468
4.3032,3.688,-1.40893415368686
4.3032,3.6885,-1.41224386661678
4.3032,3.689,-1.41556894971462
4.3032,3.6895,-1.41890949278111
4.3032,3.69,-1.42226558624246
4.3032,3.6905,-1.42563732115535
4.3032,3.691,-1.429024789212
4.3032,3.6915,-1.43242808274528
4.3032,3.692,-1.43584729473377
4.3032,3.6925,-1.43928251880703
4.3032,3.693,-1.44273384925078
4.3032,3.6935,-1.44620138101221
4.3032,3.694,-1.44968520970524
4.3032,3.6945,-1.45318543161597
4.3032,3.695,-1.45670214370808
4.3032,3.6955,-1.46023544362824
4.3032,3.696,-1.46378542971171
4.3032,3.6965,-1.46735220098786
4.3032,3.697,-1.4709358571858
4.3032,3.6975,-1.47453649874004
4.3032,3.698,-1.47815422679624
4.3032,3.6985,-1.48178914321696
4.3032,3.699,-1.48544135058747
4.3032,3.6995,-1.48911095222166
4.3032,3.7,-1.49279805216795
4.3032,3.7005,-1.49650275521528
4.3032,3.701,-1.50022516689915
4.3032,3.7015,-1.50396539350773
4.3032,3.702,-1.50772354208796
4.3032,3.7025,-1.51149972045183
4.3032,3.703,-1.51529403718257
4.3032,3.7035,-1.51910660164102
4.3032,3.704,-1.52293752397198
4.3032,3.7045,-1.52678691511067
4.3032,3.705,-1.53065488678916
4.3032,3.7055,-1.53454155154307
4.3032,3.706,-1.538447022718
4.3032,3.7065,-1.54237141447633
4.3032,3.707,-1.54631484180393
4.3032,3.7075,-1.55027742051692
4.3032,3.708,-1.5542592672686
4.3032,3.7085,-1.55826049955631
4.3032,3.709,-1.56228123572843
4.3032,3.7095,-1.5663215949915
4.3032,3.71,-1.57038169741724
4.3032,3.7105,-1.57446166394977
4.3032,3.711,-1.57856161641291
4.3032,3.7115,-1.58268167751745
4.3032,3.712,-1.58682197086851
4.3032,3.7125,-1.59098262097308
4.3032,3.713,-1.59516375324744
4.3032,3.7135,-1.59936549402484
4.3032,3.714,-1.60358797056312
4.3032,3.7145,-1.60783131105245
4.3032,3.715,-1.61209564462313
4.3032,3.7155,-1.61638110135353
4.3032,3.716,-1.62068781227795
4.3032,3.7165,-1.62501590939475
4.3032,3.717,-1.62936552567433
4.3032,3.7175,-1.63373679506744
4.3032,3.718,-1.63812985251336
4.3032,3.7185,-1.64254483394827
4.3032,3.719,-1.6469818763136
4.3032,3.7195,-1.65144111756463
4.3032,3.72,-1.65592269667897
4.3032,3.7205,-1.66042675366522
4.3032,3.721,-1.66495342957178
4.3032,3.7215,-1.66950286649557
4.3032,3.722,-1.67407520759099
4.3032,3.7225,-1.6786705970789
4.3032,3.723,-1.68328918025568
4.3032,3.7235,-1.68793110350236
4.3032,3.724,-1.69259651429391
4.3032,3.7245,-1.69728556120853
4.3032,3.725,-1.70199839393712
4.3032,3.7255,-1.70673516329273
4.3032,3.726,-1.71149602122019
4.3032,3.7265,-1.71628112080579
4.3032,3.727,-1.7210906162871
4.3032,3.7275,-1.72592466306276
4.3032,3.728,-1.73078341770259
4.3032,3.7285,-1.73566703795751
4.3032,3.729,-1.74057568276979
4.3032,3.7295,-1.74550951228331
4.3032,3.73,-1.75046868785385
4.3032,3.7305,-1.75545337205968
4.3032,3.731,-1.76046372871197
4.3032,3.7315,-1.76549992286555
4.3032,3.732,-1.77056212082965
4.3032,3.7325,-1.77565049017875
4.3032,3.733,-1.7807651997636
4.3032,3.7335,-1.78590641972224
4.3032,3.734,-1.79107432149123
4.3032,3.7345,-1.79626907781692
4.3032,3.735,-1.80149086276688
4.3032,3.7355,-1.80673985174142
4.3032,3.736,-1.81201622148515
4.3032,3.7365,-1.81732015009883
4.3032,3.737,-1.82265181705114
4.3032,3.7375,-1.8280114031907
4.3032,3.738,-1.83339909075811
4.3032,3.7385,-1.83881506339822
4.3032,3.739,-1.84425950617241
4.3032,3.7395,-1.84973260557104
4.3032,3.74,-1.85523454952603
4.3032,3.7405,-1.86076552742358
4.3032,3.741,-1.86632573011694
4.3032,3.7415,-1.87191534993936
4.3032,3.742,-1.87753458071723
4.3032,3.7425,-1.88318361778315
4.3032,3.743,-1.88886265798938
4.3032,3.7435,-1.8945718997213
4.3032,3.744,-1.90031154291086
4.3032,3.7445,-1.90608178905052
4.3032,3.745,-1.91188284120696
4.3032,3.7455,-1.91771490403516
4.3032,3.746,-1.92357818379251
4.3032,3.7465,-1.92947288835311
4.3032,3.747,-1.9353992272222
4.3032,3.7475,-1.94135741155073
4.3032,3.748,-1.94734765415008
4.3032,3.7485,-1.95337016950689
4.3032,3.749,-1.95942517379815
4.3032,3.7495,-1.96551288490629
4.3032,3.75,-1.97163352243449
4.3032,3.7505,-1.97778730772227
4.3032,3.751,-1.98397446386096
4.3032,3.7515,-1.99019521570956
4.3032,3.752,-1.99644978991073
4.3032,3.7525,-2.00273841490678
4.3032,3.753,-2.00906132095603
4.3032,3.7535,-2.01541874014922
4.3032,3.754,-2.02181090642608
4.3032,3.7545,-2.02823805559213
4.3032,3.755,-2.03470042533562
4.3032,3.7555,-2.04119825524459
4.3032,3.756,-2.04773178682424
4.3032,3.7565,-2.0543012635143
4.3032,3.757,-2.06090693070678
4.3032,3.7575,-2.06754903576365
4.3032,3.758,-2.07422782803495
4.3032,3.7585,-2.08094355887701
4.3032,3.759,-2.08769648167068
4.3032,3.7595,-2.09448685184
4.3032,3.76,-2.101314926871
4.3032,3.7605,-2.10818096633053
4.3032,3.761,-2.11508523188544
4.3032,3.7615,-2.12202798732205
4.3032,3.762,-2.12900949856551
4.3032,3.7625,-2.13603003369964
4.3032,3.763,-2.14308986298694
4.3032,3.7635,-2.15018925888861
4.3032,3.764,-2.1573284960851
4.3032,3.7645,-2.16450785149647
4.3032,3.765,-2.17172760430343
4.3032,3.7655,-2.1789880359682
4.3032,3.766,-2.18628943025578
4.3032,3.7665,-2.19363207325548
4.3032,3.767,-2.20101625340252
4.3032,3.7675,-2.20844226149998
4.3032,3.768,-2.21591039074096
4.3032,3.7685,-2.22342093673099
4.3032,3.769,-2.23097419751058
4.3032,3.7695,-2.23857047357811
4.3032,3.77,-2.24621006791298
4.3032,3.7705,-2.2538932859989
4.3032,3.771,-2.26162043584751
4.3032,3.7715,-2.26939182802223
4.3032,3.772,-2.27720777566237
4.3032,3.7725,-2.28506859450751
4.3032,3.773,-2.29297460292208
4.3032,3.7735,-2.3009261219203
4.3032,3.774,-2.30892347519133
4.3032,3.7745,-2.31696698912466
4.3032,3.775,-2.32505699283587
4.3032,3.7755,-2.33319381819261
4.3032,3.776,-2.34137779984082
4.3032,3.7765,-2.34960927523134
4.3032,3.777,-2.35788858464673
4.3032,3.7775,-2.36621607122836
4.3032,3.778,-2.37459208100395
4.3032,3.7785,-2.3830169629152
4.3032,3.779,-2.39149106884586
4.3032,3.7795,-2.40001475365011
4.3032,3.78,-2.40858837518118
4.3032,3.7805,-2.41721229432031
4.3032,3.781,-2.42588687500611
4.3032,3.7815,-2.43461248426414
4.3032,3.782,-2.44338949223682
4.3032,3.7825,-2.4522182722138
4.3032,3.783,-2.46109920066251
4.3032,3.7835,-2.47003265725915
4.3032,3.784,-2.47901902492002
4.3032,3.7845,-2.48805868983313
4.3032,3.785,-2.49715204149028
4.3032,3.7855,-2.5062994727194
4.3032,3.786,-2.51550137971727
4.3032,3.7865,-2.52475816208271
4.3032,3.787,-2.53407022285004
4.3032,3.7875,-2.54343796852288
4.3032,3.788,-2.55286180910854
4.3032,3.7885,-2.56234215815258
4.3032,3.789,-2.57187943277387
4.3032,3.7895,-2.58147405370007
4.3032,3.79,-2.59112644530345
4.3032,3.7905,-2.60083703563718
4.3032,3.791,-2.61060625647207
4.3032,3.7915,-2.62043454333359
4.3032,3.792,-2.63032233553947
4.3032,3.7925,-2.64027007623771
4.3032,3.793,-2.65027821244494
4.3032,3.7935,-2.6603471950854
4.3032,3.794,-2.67047747903015
4.3032,3.7945,-2.68066952313698
4.3032,3.795,-2.6909237902906
4.3032,3.7955,-2.70124074744345
4.3032,3.796,-2.71162086565684
4.3032,3.7965,-2.7220646201428
4.3032,3.797,-2.73257249030613
4.3032,3.7975,-2.74314495978725
4.3032,3.798,-2.75378251650538
4.3032,3.7985,-2.76448565270228
4.3032,3.799,-2.77525486498661
4.3032,3.7995,-2.78609065437859
4.3032,3.8,-2.7969935263555
4.3032,3.8005,-2.80796399089756
4.3032,3.801,-2.81900256253435
4.3032,3.8015,-2.83010976039184
4.3032,3.802,-2.84128610824014
4.3032,3.8025,-2.8525321345415
4.3032,3.803,-2.86384837249925
4.3032,3.8035,-2.87523536010718
4.3032,3.804,-2.88669364019948
4.3032,3.8045,-2.89822376050142
4.3032,3.805,-2.9098262736807
4.3032,3.8055,-2.92150173739918
4.3032,3.806,-2.93325071436562
4.3032,3.8065,-2.94507377238881
4.3032,3.807,-2.95697148443141
4.3032,3.8075,-2.96894442866476
4.3032,3.808,-2.98099318852391
4.3032,3.8085,-2.99311835276371
4.3032,3.809,-3.00532051551556
4.3032,3.8095,-3.01760027634475
4.3032,3.81,-3.02995824030867
4.3032,3.8105,-3.04239501801581
4.3032,3.811,-3.0549112256853
4.3032,3.8115,-3.06750748520749
4.3032,3.812,-3.08018442420522
4.3032,3.8125,-3.09294267609584
4.3032,3.813,-3.10578288015412
4.3032,3.8135,-3.11870568157594
4.3032,3.814,-3.13171173154289
4.3032,3.8145,-3.1448016872877
4.3032,3.815,-3.15797621216046
4.3032,3.8155,-3.17123597569591
4.3032,3.816,-3.18458165368152
4.3032,3.8165,-3.19801392822642
4.3032,3.817,-3.21153348783141
4.3032,3.8175,-3.22514102745997
4.3032,3.818,-3.23883724860988
4.3032,3.8185,-3.25262285938639
4.3032,3.819,-3.26649857457585
4.3032,3.8195,-3.28046511572069
4.3032,3.82,-3.29452321119542
4.3032,3.8205,-3.30867359628352
4.3032,3.821,-3.32291701325552
4.3032,3.8215,-3.33725421144829
4.3032,3.822,-3.35168594734516
4.3032,3.8225,-3.36621298465744
4.3032,3.823,-3.38083609440707
4.3032,3.8235,-3.39555605501027
4.3032,3.824,-3.41037365236256
4.3032,3.8245,-3.42528967992499
4.3032,3.825,-3.44030493881157
4.3032,3.8255,-3.45542023787797
4.3032,3.826,-3.4706363938116
4.3032,3.8265,-3.48595423122284
4.3032,3.827,-3.50137458273791
4.3032,3.8275,-3.5168982890927
4.3032,3.828,-3.53252619922842
4.3032,3.8285,-3.54825917038847
4.3032,3.829,-3.56409806821659
4.3032,3.8295,-3.58004376685694
4.3032,3.83,-3.59609714905533
4.3032,3.8305,-3.61225910626201
4.3032,3.831,-3.62853053873625
4.3032,3.8315,-3.6449123556524
4.3032,3.832,-3.66140547520744
4.3032,3.8325,-3.67801082473054
4.3032,3.833,-3.69472934079395
4.3032,3.8335,-3.71156196932586
4.3032,3.834,-3.72850966572515
4.3032,3.8345,-3.74557339497748
4.3032,3.835,-3.76275413177371
4.3032,3.8355,-3.78005286063009
4.3032,3.836,-3.79747057601012
4.3032,3.8365,-3.81500828244865
4.3032,3.837,-3.83266699467804
4.3032,3.8375,-3.85044773775602
4.3032,3.838,-3.86835154719595
4.3032,3.8385,-3.88637946909926
4.3032,3.839,-3.90453256028964
4.3032,3.8395,-3.92281188845014
4.3032,3.84,-3.94121853226188
4.3032,3.8405,-3.95975358154551
4.3032,3.841,-3.97841813740501
4.3032,3.8415,-3.99721331237367
4.3032,3.842,-4.01614023056285
4.3032,3.8425,-4.03520002781322
4.3032,3.843,-4.05439385184839
4.3032,3.8435,-4.07372286243147
4.3032,3.844,-4.09318823152429
4.3032,3.8445,-4.11279114344922
4.3032,3.845,-4.13253279505397
4.3032,3.8455,-4.15241439587955
4.3032,3.846,-4.17243716833054
4.3032,3.8465,-4.19260234784915
4.3032,3.847,-4.21291118309197
4.3032,3.8475,-4.23336493610986
4.3032,3.848,-4.25396488253157
4.3032,3.8485,-4.27471231174998
4.3032,3.849,-4.29560852711246
4.3032,3.8495,-4.31665484611442
4.3032,3.85,-4.3378526005962
4.3032,3.8505,-4.35920313694415
4.3032,3.851,-4.38070781629519
4.3032,3.8515,-4.40236801474511
4.3032,3.852,-4.42418512356091
4.3032,3.8525,-4.44616054939758
4.3032,3.853,-4.46829571451811
4.3032,3.8535,-4.49059205701884
4.3032,3.854,-4.51305103105822
4.3032,3.8545,-4.53567410709057
4.3032,3.855,-4.55846277210436
4.3032,3.8555,-4.58141852986486
4.3032,3.856,-4.60454290116193
4.3032,3.8565,-4.62783742406276
4.3032,3.857,-4.65130365416921
4.3032,3.8575,-4.6749431648808
4.3032,3.858,-4.69875754766301
4.3032,3.8585,-4.72274841232052
4.3032,3.859,-4.74691738727671
4.3032,3.8595,-4.77126611985844
4.3032,3.86,-4.79579627658689
4.3032,3.8605,-4.82050954347454
4.3032,3.861,-4.84540762632796
4.3032,3.8615,-4.87049225105754
4.3032,3.862,-4.89576516399344
4.3032,3.8625,-4.92122813220812
4.3032,3.863,-4.94688294384607
4.3032,3.8635,-4.9727314084606
4.3032,3.864,-4.9987753573576
4.3032,3.8645,-5.02501664394707
4.3032,3.865,-5.05145714410244
4.3032,3.8655,-5.07809875652731
4.3032,3.866,-5.10494340313075
4.3032,3.8665,-5.13199302941089
4.3032,3.867,-5.15924960484683
4.3032,3.8675,-5.18671512329964
4.3032,3.868,-5.21439160342222
4.3032,3.8685,-5.24228108907868
4.3032,3.869,-5.27038564977323
4.3032,3.8695,-5.29870738108888
4.3032,3.87,-5.32724840513621
4.3032,3.8705,-5.35601087101312
4.3032,3.871,-5.38499695527442
4.3032,3.8715,-5.4142088624133
4.3032,3.872,-5.44364882535394
4.3032,3.8725,-5.47331910595554
4.3032,3.873,-5.50322199552869
4.3032,3.8735,-5.53335981536451
4.3032,3.874,-5.56373491727574
4.3032,3.8745,-5.59434968415193
4.3032,3.875,-5.62520653052751
4.3032,3.8755,-5.65630790316427
4.3032,3.876,-5.68765628164833
4.3032,3.8765,-5.71925417900143
4.3032,3.877,-5.75110414230826
4.3032,3.8775,-5.78320875335918
4.3032,3.878,-5.81557062930918
4.3032,3.8785,-5.84819242335382
4.3032,3.879,-5.88107682542281
4.3032,3.8795,-5.91422656289048
4.3032,3.88,-5.94764440130605
4.3032,3.8805,-5.98133314514163
4.3032,3.881,-6.01529563856076
4.3032,3.8815,-6.0495347662071
4.3032,3.882,-6.08405345401341
4.3032,3.8825,-6.11885467003303
4.3032,3.883,-6.15394142529328
4.3032,3.8835,-6.18931677467153
4.3032,3.884,-6.22498381779589
4.3032,3.8845,-6.26094569996999
4.3032,3.885,-6.29720561312315
4.3032,3.8855,-6.33376679678705
4.3032,3.886,-6.37063253909969
4.3032,3.8865,-6.40780617783687
4.3032,3.887,-6.44529110147354
4.3032,3.8875,-6.48309075027437
4.3032,3.888,-6.52120861741599
4.3032,3.8885,-6.55964825014127
4.3032,3.889,-6.59841325094648
4.3032,3.8895,-6.63750727880336
4.3032,3.89,-6.67693405041697
4.3032,3.8905,-6.71669734151954
4.3032,3.891,-6.75680098820372
4.3032,3.8915,-6.79724888829463
4.3032,3.892,-6.83804500276323
4.3032,3.8925,-6.879193357182
4.3032,3.893,-6.92069804322521
4.3032,3.8935,-6.96256322021392
4.3032,3.894,-7.00479311670943
4.3032,3.8945,-7.0473920321547
4.3032,3.895,-7.09036433856766
4.3032,3.8955,-7.13371448228697
4.3032,3.896,-7.17744698577229
4.3032,3.8965,-7.221566449462
4.3032,3.897,-7.2660775536898
4.3032,3.8975,-7.31098506066235
4.3032,3.898,-7.35629381650103
4.3032,3.8985,-7.40200875335001
4.3032,3.899,-7.44813489155222
4.3032,3.8995,-7.49467734189773
4.3032,3.9,-7.5416413079462
4.3032,3.9005,-7.58903208842617
4.3032,3.901,-7.63685507971521
4.3032,3.9015,-7.68511577840339
4.3032,3.902,-7.7338197839436
4.3032,3.9025,-7.78297280139312
4.3032,3.903,-7.83258064424833
4.3032,3.9035,-7.88264923737846
4.3032,3.904,-7.93318462006164
4.3032,3.9045,-7.98419294912638
4.3032,3.905,-8.0356805022055
4.3032,3.9055,-8.08765368110515
4.3032,3.906,-8.14011901529416
4.3032,3.9065,-8.19308316551979
4.3032,3.907,-8.24655292755544
4.3032,3.9075,-8.30053523608365
4.3032,3.908,-8.35503716872442
4.3032,3.9085,-8.4100659502113
4.3032,3.909,-8.4656289567246
4.3032,3.9095,-8.52173372038771
4.3032,3.91,-8.57838793393338
4.3032,3.9105,-8.63559945554891
4.3032,3.911,-8.69337631390828
4.3032,3.9115,-8.75172671339807
4.3032,3.912,-8.81065903954925
4.3032,3.9125,-8.87018186468204
4.3032,3.913,-8.93030395377493
4.3032,3.9135,-8.99103427056833
4.3032,3.914,-9.05238198391503
4.3032,3.9145,-9.11435647438715
4.3032,3.915,-9.17696734115556
4.3032,3.9155,-9.24022440915138
4.3032,3.916,-9.30413773652667
4.3032,3.9165,-9.36871762242814
4.3032,3.917,-9.43397461509845
4.3032,3.9175,-9.49991952032439
4.3032,3.918,-9.56656341024776
4.3032,3.9185,-9.63391763255785
4.3032,3.919,-9.70199382008643
4.3032,3.9195,-9.77080390082645
4.3032,3.92,-9.84036010839486
4.3032,3.9205,-9.91067499296648
4.3032,3.921,-9.98176143270248
4.3032,3.9215,-10.0536326457
4.3032,3.922,-10.1263022024941
4.3032,3.9225,-10.1997840391391
4.3032,3.923,-10.2740924709053
4.3032,3.9235,-10.349242206624
4.3032,3.924,-10.4252483637179
4.3032,3.9245,-10.502126483957
4.3032,3.925,-10.5798925499823
4.3032,3.9255,-10.6585630026416
4.3032,3.926,-10.7381547591862
4.3032,3.9265,-10.8186852323814
4.3032,3.927,-10.9001723505827
4.3032,3.9275,-10.9826345788398
4.3032,3.928,-11.0660909410924
4.3032,3.9285,-11.1505610435221
4.3032,3.929,-11.2360650991376
4.3032,3.9295,-11.3226239536688
4.3032,3.93,-11.4102591128562
4.3032,3.9305,-11.4989927712257
4.3032,3.931,-11.5888478424444
4.3032,3.9315,-11.6798479913672
4.3032,3.932,-11.7720176678842
4.3032,3.9325,-11.8653821426917
4.3032,3.933,-11.9599675451214
4.3032,3.9335,-12.0558009031688
4.3032,3.934,-12.1529101858769
4.3032,3.9345,-12.2513243482414
4.3032,3.935,-12.3510733788224
4.3032,3.9355,-12.4521883502549
4.3032,3.936,-12.5547014728781
4.3032,3.9365,-12.6586461517107
4.3032,3.937,-12.76405704703
4.3032,3.9375,-12.870970138829
4.3032,3.938,-12.9794227954516
4.3032,3.9385,-13.0894538467355
4.3032,3.939,-13.2011036620228
4.3032,3.9395,-13.3144142334277
4.3032,3.94,-13.4294292647949
4.3032,3.9405,-13.5461942668184
4.3032,3.941,-13.6647566588381
4.3032,3.9415,-13.785165877885
4.3032,3.942,-13.9074734955991
4.3032,3.9425,-14.0317333437123
4.3032,3.943,-14.1580016488576
4.3032,3.9435,-14.2863371775431
4.3032,3.944,-14.4168013922284
4.3032,3.9445,-14.5494586195309
4.3032,3.945,-14.6843762317076
4.3032,3.9455,-14.8216248426899
4.3032,3.946,-14.9612785200862
4.3032,3.9465,-15.1034150147333
4.3032,3.947,-15.2481160095655
4.3032,3.9475,-15.3954673897782
4.3032,3.948,-15.5455595364974
4.3032,3.9485,-15.6984876464514
4.3032,3.949,-15.8543520804378
4.3032,3.9495,-16.0132587437478
4.3032,3.95,-16.1753195021163
4.3032,3.9505,-16.3406526372276
4.3032,3.951,-16.5093833463691
4.3032,3.9515,-16.6816442914373
4.3032,3.952,-16.8575762032312
4.3032,3.9525,-17.0373285478224
4.3032,3.953,-17.2210602627697
4.3032,3.9535,-17.4089405720945
4.3032,3.954,-17.6011498902942
4.3032,3.9545,-17.797880827249
4.3032,3.955,-17.9993393077437
4.3032,3.9555,-18.2057458215578
4.3032,3.956,-18.4173368226785
4.3032,3.9565,-18.6343662993442
4.3032,3.957,-18.8571075403469
4.3032,3.9575,-19.0858551275227
4.3032,3.958,-19.3209271897548
4.3032,3.9585,-19.56266796036
4.3032,3.959,-19.8114506876504
4.3032,3.9595,-20.0676809581562
4.3032,3.96,-20.3318005038392
4.3032,3.9605,-20.604291579203
4.3032,3.961,-20.8856820122474
4.3032,3.9615,-21.1765510555746
4.3032,3.962,-21.4775361918893
4.3032,3.9625,-21.7893410831567
4.3032,3.963,-22.1127448967627
4.3032,3.9635,-22.448613297878
4.3032,3.964,-22.7979114681714
4.3032,3.9645,-23.1617196016193
4.3032,3.965,-23.5412514441834
4.3032,3.9655,-23.9378765930664
4.3032,3.966,-24.3531474625265
4.3032,3.9665,-24.7888320683842
4.3032,3.967,-25.2469540952721
4.3032,3.9675,-25.7298421018067
4.3032,3.968,-26.240190194801
4.3032,3.9685,-26.7811330484599
4.3032,3.969,-27.356338684976
4.3032,3.9695,-27.9701227555171
4.3032,3.97,-28.6275876164194
4.3032,3.9705,-29.3347869412123
4.3032,3.971,-30.0989087035563
4.3032,3.9715,-30.9284482686873
4.3032,3.972,-31.8332898526732
4.3032,3.9725,-32.8244811187357
4.3032,3.973,-33.9131530882267
4.3032,3.9735,-35.1072138505896
4.3032,3.974,-36.4024845874731
4.3032,3.9745,-37.7609720254647
4.3032,3.975,-39.0654727990551
4.3032,3.9755,-40.0612848924777
4.3032,3.976,-40.3995166178668
4.3032,3.9765,-39.9212941061136
4.3032,3.977,-38.8461638880195
4.3032,3.9775,-37.5203009743071
4.3032,3.978,-36.1707334632007
4.3032,3.9785,-34.8955441604412
4.3032,3.979,-33.723964332432
4.3032,3.9795,-32.6568512306599
4.3032,3.98,-31.6852753212325
4.3032,3.9805,-30.7979676772528
4.3032,3.981,-29.9840495037519
4.3032,3.9815,-29.2338875535912
4.3032,3.982,-28.5392363228086
4.3032,3.9825,-27.8931293171513
4.3032,3.983,-27.2897002859125
4.3032,3.9835,-26.7240023863262
4.3032,3.984,-26.1918480578827
4.3032,3.9845,-25.6896746634308
4.3032,3.985,-25.2144344230517
4.3032,3.9855,-24.7635051626196
4.3032,3.986,-24.334618162842
4.3032,3.9865,-23.9257997842462
4.3032,3.987,-23.5353240950117
4.3032,3.9875,-23.1616742637921
4.3032,3.988,-22.8035109403361
4.3032,3.9885,-22.4596462225883
4.3032,3.989,-22.1290221076405
4.3032,3.9895,-21.8106925582486
4.3032,3.99,-21.5038084993536
4.3032,3.9905,-21.2076052012937
4.3032,3.991,-20.921391617276
4.3032,3.9915,-20.6445413292646
4.3032,3.992,-20.3764848243456
4.3032,3.9925,-20.1167028770834
4.3032,3.993,-19.8647208556278
4.3032,3.9935,-19.6201038029364
4.3032,3.994,-19.3824521712654
4.3032,3.9945,-19.1513981095889
4.3032,3.995,-18.9266022209385
4.3032,3.9955,-18.707750720695
4.3032,3.996,-18.4945529382671
4.3032,3.9965,-18.286739113932
4.3032,3.997,-18.0840584502721
4.3032,3.9975,-17.8862773839351
4.3032,3.998,-17.6931780486903
4.3032,3.9985,-17.5045569050744
4.3032,3.999,-17.3202235155441
4.3032,3.9995,-17.1399994470922
4.3032,4,-16.96371728581
4.3032,4.0005,-16.7912197500392
4.3032,4.001,-16.6223588905688
4.3032,4.0015,-16.4569953678651
4.3032,4.002,-16.2949977976402
4.3032,4.0025,-16.1362421571845
4.3032,4.003,-15.9806112458398
4.3032,4.0035,-15.8279941938215
4.3032,4.004,-15.6782860142981
4.3032,4.0045,-15.5313871942524
4.3032,4.005,-15.3872033201828
4.3032,4.0055,-15.2456447351489
4.3032,4.006,-15.1066262240771
4.3032,4.0065,-14.9700667245897
4.3032,4.007,-14.8358890609131
4.3032,4.0075,-14.7040196987012
4.3032,4.008,-14.5743885188384
4.3032,4.0085,-14.4469286084854
4.3032,4.009,-14.3215760678247
4.3032,4.0095,-14.198269831112
4.3032,4.01,-14.0769515007828
4.3032,4.0105,-13.9575651934969
4.3032,4.011,-13.8400573970991
4.3032,4.0115,-13.7243768375885
4.3032,4.012,-13.6104743552684
4.3032,4.0125,-13.4983027893262
4.3032,4.013,-13.3878168701685
4.3032,4.0135,-13.2789731188955
4.3032,4.014,-13.1717297533535
4.3032,4.0145,-13.066046600258
4.3032,4.015,-12.961885012925
4.3032,4.0155,-12.859207794185
4.3032,4.016,-12.757979124095
4.3032,4.0165,-12.6581644920956
4.3032,4.017,-12.5597306332885
4.3032,4.0175,-12.4626454685407
4.3032,4.018,-12.3668780481407
4.3032,4.0185,-12.2723984987592
4.3032,4.019,-12.1791779734855
4.3032,4.0195,-12.0871886047266
4.3032,4.02,-11.9964034597754
4.3032,4.0205,-11.9067964988711
4.3032,4.021,-11.8183425355829
4.3032,4.0215,-11.7310171993662
4.3032,4.022,-11.6447969001515
4.3032,4.0225,-11.5596587948333
4.3032,4.023,-11.4755807555376
4.3032,4.0235,-11.3925413395604
4.3032,4.024,-11.3105197608672
4.3032,4.0245,-11.2294958630619
4.3032,4.025,-11.1494500937335
4.3032,4.0255,-11.0703634800967
4.3032,4.026,-10.9922176058512
4.3032,4.0265,-10.9149945891857
4.3032,4.027,-10.8386770618587
4.3032,4.0275,-10.7632481492973
4.3032,4.028,-10.6886914516505
4.3032,4.0285,-10.6149910257461
4.3032,4.029,-10.5421313678989
4.3032,4.0295,-10.4700973975229
4.3032,4.03,-10.3988744415014
4.3032,4.0305,-10.3284482192768
4.3032,4.031,-10.2588048286168
4.3032,4.0315,-10.1899307320236
4.3032,4.032,-10.1218127437503
4.3032,4.0325,-10.0544380173916
4.3032,4.033,-9.98779403402139
4.3032,4.0335,-9.92186859084567
4.3032,4.034,-9.85664979034479
4.3032,4.0345,-9.79212602988226
4.3032,4.035,-9.72828599175351
4.3032,4.0355,-9.6651186336534
4.3032,4.036,-9.60261317954281
4.3032,4.0365,-9.5407591108927
4.3032,4.037,-9.47954615828768
4.3032,4.0375,-9.41896429337274
4.3032,4.038,-9.35900372112414
4.3032,4.0385,-9.2996548724316
4.3032,4.039,-9.24090839697474
4.3032,4.0395,-9.18275515638092
4.3032,4.04,-9.12518621765146
4.3032,4.0405,-9.06819284684324
4.3032,4.041,-9.01176650299352
4.3032,4.0415,-8.95589883227849
4.3032,4.042,-8.90058166239257
4.3032,4.0425,-8.84580699714034
4.3032,4.043,-8.79156701123096
4.3032,4.0435,-8.73785404526588
4.3032,4.044,-8.68466060091101
4.3032,4.0445,-8.63197933624667
4.3032,4.045,-8.57980306128567
4.3032,4.0455,-8.52812473365364
4.3032,4.046,-8.47693745442414
4.3032,4.0465,-8.42623446410154
4.3032,4.047,-8.37600913874674
4.3032,4.0475,-8.32625498623789
4.3032,4.048,-8.2769656426618
4.3032,4.0485,-8.22813486883043
4.3032,4.049,-8.17975654691687
4.3032,4.0495,-8.13182467720575
4.3032,4.05,-8.08433337495476
4.3032,4.0505,-8.03727686736109
4.3032,4.051,-7.99064949062925
4.3032,4.0515,-7.94444568713715
4.3032,4.052,-7.89866000269449
4.3032,4.0525,-7.85328708389229
4.3032,4.053,-7.80832167553793
4.3032,4.0535,-7.76375861817301
4.3032,4.054,-7.71959284567204
4.3032,4.0545,-7.67581938291672
4.3032,4.055,-7.63243334354445
4.3032,4.0555,-7.58942992776818
4.3032,4.056,-7.54680442026394
4.3032,4.0565,-7.50455218812431
4.3032,4.057,-7.46266867887574
4.3032,4.0575,-7.42114941855595
4.3032,4.058,-7.37999000985057
4.3032,4.0585,-7.33918613028644
4.3032,4.059,-7.29873353047894
4.3032,4.0595,-7.25862803243241
4.3032,4.06,-7.21886552789089
4.3032,4.0605,-7.17944197673751
4.3032,4.061,-7.14035340544167
4.3032,4.0615,-7.10159590555091
4.3032,4.062,-7.06316563222695
4.3032,4.0625,-7.02505880282427
4.3032,4.063,-6.98727169550916
